19,96,29,136,30,169,95,207,69,236,114,239,143,209,172,243,167,145,124,146
126,101,89,123,86,81,196,84,206,50,251,16,252,43,230,74,285,59,299,36
331,80,356,58,379,107,247,135,242,162,298,156,239,227,318,211,289,245,354,228
345,189,402,207,400,177,497,238,536,233,579,219,505,154,511,111,575,136,566,84
525,76,573,49,528,37,454,38,408,31,435,62
26,118,27,158,33,192,101,230,70,259,121,262,150,237,173,265,168,169,125,169
138,127,100,147,98,103,204,106,206,71,251,36,257,65,247,98,290,94,324,62
335,107,367,80,392,133,273,156,254,183,305,178,257,248,314,232,302,266,365,255
369,213,415,231,422,199,497,261,544,257,588,246,524,177,535,134,579,161,580,114
541,98,593,73,549,61,471,59,430,52,440,85
2,13,0,0,0,0
1,3,0,0,0,0
2,4,0,0,0,0
5,6,7,3,0,0
4,6,0,0,0,0
5,4,7,8,0,0
8,6,4,9,0,0
7,6,27,0,0,0
10,11,7,14,0,0
12,11,9,0,0,0
9,10,12,13,0,0
13,11,10,0,0,0
12,11,1,15,0,0
15,18,9,24,0,0
14,18,17,16,13,0
15,17,20,0,0,0
16,15,18,19,20,0
14,15,17,19,0,0
18,17,20,21,0,0
16,17,19,21,22,0
19,20,22,23,0,0
20,21,23,0,0,0
21,22,26,33,46,0
25,26,14,0,0,0
24,26,27,0,0,0
24,25,23,0,0,0
29,28,8,25,0,0
27,29,30,31,0,0
27,28,30,0,0,0
29,28,31,32,0,0
28,30,32,33,0,0
30,31,33,34,0,0
31,32,23,37,0,0
35,32,0,0,0,0
34,36,0,0,0,0
35,39,0,0,0,0
38,39,33,46,0,0
37,39,40,41,0,0
40,38,37,36,0,0
42,43,41,38,39,0
38,40,43,0,0,0
43,40,0,0,0,0
41,40,42,44,0,0
46,45,43,0,0,0
44,46,0,0,0,0
44,45,23,37,0,0
1,2,3,0,0,0,0,0,0,0
4,5,6,7,8,0,0,0,0,0
9,10,11,12,13,0,0,0,0,0
14,15,16,17,18,19,20,21,22,23
24,25,26,0,0,0,0,0,0,0
27,28,29,30,31,32,33,0,0,0
34,35,36,0,0,0,0,0,0,0
37,38,39,40,41,42,43,0,0,0
44,45,46,0,0,0,0,0,0,0
1,3,4,7,8,9,13,14,15,23,24,25,26,27,32,33,34,36,39,37,43,44,46
0,0,1,3,0,0,0,0,4,6,4,7,0,0,0,0,0,0,9,9,13,9,13,13,0,0,0,0,0,0,15,15,15,18,14,15,18,21
19,22,23,23,23,23,0,0,0,0,0,0,0,0,0,0,27,27,27,27,32,32,32,33,0,0,0,0,0,0,34,36,0,0,0,0, 37,39,0,0,43,39
43,43,43,43,0,0,0,0,46,44,0,0
1,3,5,4,7,8,9,10,11,17,19,20,21,23,24,26,29,31,30,32,34,35,36,39,37,38,42
44,46,22,13,15,43,40

